evaluation_id,student_id,score,feedback,feedback_length,vigor,motivacao,autoimagem,absorcao,dedicacao,clareza_metas,cooperacao,estresse,resiliencia,infraestrutura,avaliacao_instituicao,avaliacao_professor,indice_engajamento_geral,proba_vigor,proba_motivacao,proba_autoimagem,proba_absorcao,proba_dedicacao,proba_clareza_metas,proba_cooperacao,proba_estresse,proba_resiliencia,proba_infraestrutura,proba_avaliacao_instituicao,proba_avaliacao_professor,proba_indice_engajamento_geral,meta_prediction,created_at
6_202403,6,3,"Achei que faltaram exemplos práticos em algumas aulas. Gostei da didática do professor, mas o material poderia melhorar.",18,1,1,1,1,1,1,1,1,1,1,1,1,1,0.562,0.608,0.617,0.694,0.648,0.571,0.555,0.625,0.534,0.692,0.659,0.577,0.635,0,2024-03-01T00:00:00Z
6_202404,6,4,O curso foi muito bom e aprendi bastante.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.514,0.668,0.594,0.662,0.52,0.57,0.6,0.602,0.577,0.631,0.547,0.593,0.565,0,2024-04-01T00:00:00Z
6_202405,6,3,Faltou interação entre os colegas em atividades de grupo.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.606,0.626,0.636,0.544,0.523,0.664,0.617,0.563,0.678,0.606,0.659,0.603,0.558,0,2024-05-01T00:00:00Z
6_202406,6,5,Achei que faltaram exemplos práticos em algumas aulas.,8,1,1,1,1,1,1,1,1,1,1,1,0,1,0.703,0.688,0.588,0.649,0.632,0.668,0.552,0.634,0.653,0.512,0.541,0.498,0.661,0,2024-06-01T00:00:00Z
7_202401,7,5,Recomendo o curso para quem está começando na área. O conteúdo está bem organizado e claro.,16,1,1,1,1,1,1,1,1,1,1,0,1,1,0.587,0.636,0.675,0.604,0.681,0.531,0.515,0.597,0.619,0.598,0.497,0.596,0.624,0,2024-01-01T00:00:00Z
7_202402,7,2,Faltou interação entre os colegas em atividades de grupo.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.535,0.633,0.618,0.553,0.574,0.547,0.597,0.648,0.551,0.625,0.573,0.56,0.554,0,2024-02-01T00:00:00Z
7_202403,7,5,O curso foi muito bom e aprendi bastante.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.595,0.548,0.572,0.54,0.698,0.602,0.565,0.611,0.594,0.589,0.631,0.638,0.611,0,2024-03-01T00:00:00Z
7_202404,7,4,O curso foi muito bom e aprendi bastante. O conteúdo está bem organizado e claro.,15,1,1,1,0,1,1,1,1,1,1,1,1,1,0.573,0.571,0.586,0.485,0.524,0.668,0.682,0.588,0.629,0.616,0.75,0.656,0.527,0,2024-04-01T00:00:00Z
7_202405,7,3,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado. Recomendo o curso para quem está começando na área.,21,1,1,1,1,1,1,1,1,1,1,1,1,1,0.594,0.552,0.52,0.61,0.562,0.529,0.568,0.546,0.684,0.644,0.6,0.674,0.589,0,2024-05-01T00:00:00Z
7_202406,7,1,Achei que faltaram exemplos práticos em algumas aulas.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.604,0.557,0.676,0.627,0.548,0.59,0.556,0.531,0.646,0.695,0.53,0.628,0.593,0,2024-06-01T00:00:00Z
8_202401,8,5,"Gostei da didática do professor, mas o material poderia melhorar. Os fóruns ajudaram a tirar dúvidas rapidamente.",17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.567,0.576,0.57,0.557,0.602,0.558,0.614,0.597,0.588,0.555,0.571,0.638,0.575,0,2024-01-01T00:00:00Z
8_202402,8,5,"Gostei da didática do professor, mas o material poderia melhorar. Recomendo o curso para quem está começando na área.",19,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625,0.551,0.605,0.638,0.517,0.627,0.567,0.629,0.562,0.51,0.519,0.602,0.593,0,2024-02-01T00:00:00Z
8_202403,8,4,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.613,0.555,0.632,0.517,0.597,0.539,0.567,0.602,0.557,0.581,0.65,0.571,0.576,0,2024-03-01T00:00:00Z
8_202404,8,2,Seria interessante ter mais exercícios de fixação. O conteúdo está bem organizado e claro.,14,1,1,1,1,0,1,1,1,1,1,1,1,1,0.642,0.544,0.626,0.672,0.476,0.56,0.629,0.59,0.619,0.57,0.604,0.592,0.597,0,2024-04-01T00:00:00Z
8_202405,8,4,Faltou interação entre os colegas em atividades de grupo.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.658,0.613,0.617,0.579,0.576,0.578,0.62,0.579,0.614,0.704,0.644,0.584,0.604,0,2024-05-01T00:00:00Z
8_202406,8,2,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado. O curso foi muito bom e aprendi bastante.,20,1,1,0,1,1,1,1,1,1,1,1,0,1,0.66,0.58,0.498,0.55,0.506,0.582,0.601,0.684,0.616,0.589,0.641,0.489,0.572,0,2024-06-01T00:00:00Z
9_202401,9,2,Recomendo o curso para quem está começando na área. Achei que faltaram exemplos práticos em algumas aulas.,17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.612,0.639,0.526,0.657,0.617,0.579,0.632,0.714,0.609,0.612,0.577,0.558,0.629,0,2024-01-01T00:00:00Z
9_202402,9,1,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado. O curso foi muito bom e aprendi bastante.,20,1,1,1,1,1,1,1,1,1,1,1,1,1,0.642,0.557,0.604,0.576,0.624,0.617,0.652,0.574,0.587,0.551,0.578,0.619,0.614,0,2024-02-01T00:00:00Z
9_202403,9,3,Achei que faltaram exemplos práticos em algumas aulas.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.638,0.554,0.643,0.668,0.621,0.694,0.561,0.538,0.511,0.675,0.633,0.597,0.642,0,2024-03-01T00:00:00Z
9_202404,9,3,"Os fóruns ajudaram a tirar dúvidas rapidamente. Gostei da didática do professor, mas o material poderia melhorar.",17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.614,0.544,0.722,0.606,0.605,0.636,0.624,0.611,0.56,0.624,0.694,0.667,0.608,0,2024-04-01T00:00:00Z
9_202405,9,5,Recomendo o curso para quem está começando na área.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.68,0.574,0.551,0.594,0.603,0.655,0.515,0.676,0.592,0.579,0.549,0.517,0.626,0,2024-05-01T00:00:00Z
9_202406,9,4,Tive dificuldade em acompanhar alguns tópicos mais avançados. Achei que faltaram exemplos práticos em algumas aulas.,16,1,1,1,1,1,1,1,1,1,1,0,1,1,0.641,0.604,0.536,0.535,0.583,0.683,0.587,0.525,0.588,0.586,0.465,0.597,0.586,0,2024-06-01T00:00:00Z
10_202401,10,3,Tive dificuldade em acompanhar alguns tópicos mais avançados.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.588,0.635,0.692,0.656,0.587,0.545,0.729,0.603,0.601,0.599,0.61,0.593,0.61,0,2024-01-01T00:00:00Z
10_202402,10,1,Achei que faltaram exemplos práticos em algumas aulas. O conteúdo está bem organizado e claro.,15,1,1,1,1,1,1,1,1,0,1,1,0,1,0.571,0.573,0.598,0.573,0.564,0.605,0.587,0.675,0.467,0.655,0.662,0.496,0.569,0,2024-02-01T00:00:00Z
10_202403,10,1,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado. Faltou interação entre os colegas em atividades de grupo.,21,1,1,1,1,1,1,1,1,1,1,1,1,1,0.583,0.581,0.53,0.561,0.544,0.688,0.647,0.664,0.636,0.544,0.574,0.624,0.563,0,2024-03-01T00:00:00Z
10_202404,10,4,"Gostei da didática do professor, mas o material poderia melhorar.",10,1,1,1,1,1,1,1,1,1,1,1,1,1,0.539,0.636,0.588,0.581,0.636,0.622,0.582,0.658,0.546,0.631,0.63,0.585,0.585,0,2024-04-01T00:00:00Z
10_202405,10,3,Os fóruns ajudaram a tirar dúvidas rapidamente. Achei que faltaram exemplos práticos em algumas aulas.,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0.616,0.537,0.646,0.591,0.574,0.652,0.565,0.53,0.522,0.63,0.536,0.688,0.594,0,2024-05-01T00:00:00Z
10_202406,10,4,Faltou interação entre os colegas em atividades de grupo. Faltou interação entre os colegas em atividades de grupo.,18,0,1,1,1,1,1,1,1,1,1,1,1,1,0.496,0.685,0.611,0.595,0.573,0.62,0.598,0.655,0.606,0.608,0.582,0.597,0.555,0,2024-06-01T00:00:00Z
11_202401,11,1,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado. Os fóruns ajudaram a tirar dúvidas rapidamente.,19,1,1,1,1,1,1,1,1,1,1,1,1,1,0.615,0.514,0.533,0.637,0.609,0.591,0.601,0.617,0.573,0.561,0.61,0.551,0.62,0,2024-01-01T00:00:00Z
11_202402,11,4,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.62,0.515,0.651,0.624,0.613,0.649,0.683,0.651,0.508,0.536,0.569,0.601,0.619,0,2024-02-01T00:00:00Z
11_202403,11,1,"Gostei da didática do professor, mas o material poderia melhorar. Tive dificuldade em acompanhar alguns tópicos mais avançados.",18,1,1,1,1,1,1,1,1,1,1,1,1,1,0.626,0.564,0.609,0.562,0.569,0.53,0.554,0.532,0.551,0.653,0.553,0.732,0.586,0,2024-03-01T00:00:00Z
11_202404,11,3,Os fóruns ajudaram a tirar dúvidas rapidamente. Faltou interação entre os colegas em atividades de grupo.,16,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625,0.609,0.557,0.635,0.571,0.606,0.728,0.595,0.657,0.565,0.598,0.689,0.61,0,2024-04-01T00:00:00Z
11_202405,11,4,"Gostei da didática do professor, mas o material poderia melhorar. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.",22,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569,0.691,0.635,0.572,0.632,0.649,0.631,0.521,0.564,0.588,0.596,0.631,0.591,0,2024-05-01T00:00:00Z
11_202406,11,1,Recomendo o curso para quem está começando na área.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.609,0.533,0.619,0.631,0.628,0.654,0.642,0.623,0.596,0.517,0.621,0.61,0.623,0,2024-06-01T00:00:00Z
12_202401,12,3,O curso foi muito bom e aprendi bastante. Os fóruns ajudaram a tirar dúvidas rapidamente.,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,0.336,0.346,0.453,0.398,0.434,0.401,0.401,0.447,0.374,0.405,0.377,0.422,1,2024-01-01T00:00:00Z
12_202402,12,5,Faltou interação entre os colegas em atividades de grupo. Faltou interação entre os colegas em atividades de grupo.,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,0.385,0.411,0.376,0.463,0.355,0.391,0.378,0.472,0.41,0.452,0.326,0.406,1,2024-02-01T00:00:00Z
12_202403,12,1,"Gostei da didática do professor, mas o material poderia melhorar. Achei que faltaram exemplos práticos em algumas aulas.",18,0,0,0,0,0,0,1,0,0,0,0,0,0,0.413,0.444,0.404,0.453,0.374,0.47,0.515,0.382,0.378,0.473,0.479,0.374,0.413,1,2024-03-01T00:00:00Z
12_202404,12,2,Tive dificuldade em acompanhar alguns tópicos mais avançados. Recomendo o curso para quem está começando na área.,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0.386,0.333,0.354,0.35,0.362,0.398,0.412,0.478,0.35,0.449,0.389,0.361,1,2024-04-01T00:00:00Z
12_202405,12,2,Recomendo o curso para quem está começando na área.,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0.398,0.434,0.344,0.419,0.408,0.425,0.414,0.523,0.368,0.373,0.369,0.372,0.408,1,2024-05-01T00:00:00Z
12_202406,12,5,Achei que faltaram exemplos práticos em algumas aulas.,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0.459,0.471,0.371,0.358,0.424,0.372,0.432,0.41,0.324,0.477,0.49,0.366,1,2024-06-01T00:00:00Z
13_202401,13,5,O conteúdo está bem organizado e claro.,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569,0.581,0.614,0.617,0.633,0.701,0.591,0.56,0.531,0.563,0.598,0.69,0.606,0,2024-01-01T00:00:00Z
13_202402,13,2,O conteúdo está bem organizado e claro. Tive dificuldade em acompanhar alguns tópicos mais avançados.,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0.574,0.611,0.599,0.659,0.726,0.573,0.576,0.652,0.634,0.692,0.629,0.582,0.653,0,2024-02-01T00:00:00Z
13_202403,13,2,Seria interessante ter mais exercícios de fixação.,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.63,0.655,0.641,0.625,0.653,0.658,0.669,0.632,0.592,0.607,0.66,0.559,0.636,0,2024-03-01T00:00:00Z
13_202404,13,1,O curso foi muito bom e aprendi bastante.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.618,0.58,0.601,0.664,0.61,0.602,0.532,0.637,0.632,0.708,0.585,0.611,0.631,0,2024-04-01T00:00:00Z
13_202405,13,5,Achei que faltaram exemplos práticos em algumas aulas. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,20,1,1,1,1,1,1,1,1,1,1,1,1,1,0.612,0.679,0.595,0.614,0.63,0.609,0.578,0.61,0.654,0.549,0.607,0.565,0.619,0,2024-05-01T00:00:00Z
13_202406,13,5,Seria interessante ter mais exercícios de fixação. O conteúdo está bem organizado e claro.,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0.66,0.524,0.572,0.619,0.678,0.597,0.572,0.694,0.528,0.49,0.622,0.575,0.652,0,2024-06-01T00:00:00Z
14_202401,14,2,O conteúdo está bem organizado e claro. Os fóruns ajudaram a tirar dúvidas rapidamente.,14,1,1,1,1,1,1,1,1,1,1,1,1,1,0.549,0.635,0.612,0.572,0.536,0.644,0.633,0.595,0.692,0.546,0.524,0.565,0.552,0,2024-01-01T00:00:00Z
14_202402,14,5,Seria interessante ter mais exercícios de fixação.,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.598,0.612,0.588,0.618,0.537,0.672,0.596,0.656,0.617,0.623,0.628,0.622,0.584,0,2024-02-01T00:00:00Z
14_202403,14,5,O curso foi muito bom e aprendi bastante.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.632,0.666,0.61,0.635,0.596,0.672,0.566,0.69,0.598,0.528,0.606,0.566,0.621,0,2024-03-01T00:00:00Z
14_202404,14,5,Seria interessante ter mais exercícios de fixação.,7,1,1,1,1,1,0,1,1,1,1,1,1,1,0.642,0.567,0.578,0.506,0.577,0.479,0.521,0.638,0.639,0.621,0.552,0.598,0.575,0,2024-04-01T00:00:00Z
14_202405,14,1,"Gostei da didática do professor, mas o material poderia melhorar. Achei que faltaram exemplos práticos em algumas aulas.",18,1,1,1,1,1,1,1,0,1,1,1,1,1,0.6,0.542,0.675,0.644,0.589,0.601,0.61,0.498,0.588,0.566,0.55,0.586,0.611,0,2024-05-01T00:00:00Z
14_202406,14,5,"Gostei da didática do professor, mas o material poderia melhorar. Recomendo o curso para quem está começando na área.",19,1,1,1,1,1,1,1,1,1,1,1,1,1,0.69,0.632,0.571,0.629,0.67,0.646,0.603,0.568,0.635,0.62,0.645,0.632,0.663,0,2024-06-01T00:00:00Z
15_202401,15,3,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.652,0.573,0.666,0.61,0.704,0.566,0.687,0.61,0.567,0.576,0.584,0.621,0.655,0,2024-01-01T00:00:00Z
15_202402,15,3,Faltou interação entre os colegas em atividades de grupo.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.626,0.571,0.599,0.707,0.686,0.622,0.602,0.606,0.631,0.549,0.587,0.517,0.673,0,2024-02-01T00:00:00Z
15_202403,15,1,Achei que faltaram exemplos práticos em algumas aulas.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.62,0.632,0.576,0.679,0.539,0.527,0.611,0.652,0.684,0.577,0.654,0.598,0.613,0,2024-03-01T00:00:00Z
15_202404,15,3,"O curso foi muito bom e aprendi bastante. Gostei da didática do professor, mas o material poderia melhorar.",18,1,1,1,1,1,1,1,1,1,1,1,1,1,0.591,0.644,0.633,0.521,0.674,0.669,0.569,0.62,0.625,0.613,0.572,0.566,0.595,0,2024-04-01T00:00:00Z
15_202405,15,3,"Gostei da didática do professor, mas o material poderia melhorar.",10,1,1,1,1,1,0,1,1,1,1,1,1,1,0.599,0.659,0.627,0.581,0.639,0.458,0.657,0.513,0.582,0.544,0.535,0.658,0.606,0,2024-05-01T00:00:00Z
15_202406,15,5,Tive dificuldade em acompanhar alguns tópicos mais avançados.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.577,0.617,0.598,0.624,0.604,0.536,0.65,0.575,0.522,0.579,0.675,0.643,0.602,0,2024-06-01T00:00:00Z
16_202401,16,2,Faltou interação entre os colegas em atividades de grupo. O conteúdo está bem organizado e claro.,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0.383,0.383,0.384,0.504,0.419,0.422,0.452,0.412,0.387,0.39,0.396,0.398,0.435,1,2024-01-01T00:00:00Z
16_202402,16,5,"Faltou interação entre os colegas em atividades de grupo. Gostei da didática do professor, mas o material poderia melhorar.",19,0,0,0,0,0,0,0,0,0,0,1,0,0,0.436,0.403,0.437,0.396,0.404,0.3,0.446,0.417,0.45,0.255,0.504,0.393,0.412,1,2024-02-01T00:00:00Z
16_202403,16,1,Seria interessante ter mais exercícios de fixação. O curso foi muito bom e aprendi bastante.,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.348,0.431,0.347,0.369,0.496,0.39,0.411,0.444,0.425,0.408,0.418,0.39,1,2024-03-01T00:00:00Z
16_202404,16,3,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.397,0.41,0.453,0.455,0.459,0.432,0.343,0.482,0.343,0.415,0.362,0.476,1,2024-04-01T00:00:00Z
16_202405,16,1,O conteúdo está bem organizado e claro.,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397,0.416,0.416,0.421,0.481,0.423,0.388,0.448,0.459,0.339,0.43,0.435,0.433,1,2024-05-01T00:00:00Z
